Search term,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Campaign type
southern tractor parts,145,2,1,50.00%,0.29,0.29,Search
international 806 parts,0,2,0,0.00%,0,0,Search
bolens tractor parts,0,2,0,0.00%,0,0,Search
ford 5600 tractor parts,0,3,0,0.00%,0,0,Search
farmall m belt pulley,152.5,4,1,25.00%,0.61,0.61,Search
oliver oc4 parts,50,7,1,14.29%,0.35,0.35,Search
super m carburetor,0,3,0,0.00%,0,0,Search
farmall m radiator,180,32,5,15.63%,1.15,5.76,Search
replacement tractor fuel tanks,0,2,0,0.00%,0,0,Search
ford 8n manifold,0,8,0,0.00%,0,0,Search
just 8n tractor parts,230,2,1,50.00%,0.46,0.46,Search
allis chalmers wd distributor,0,2,0,0.00%,0,0,Search
continental z120 engine parts,90,2,1,50.00%,0.18,0.18,Search
david bradley walk behind tractor engine,0,2,0,0.00%,0,0,Search
c5nn10a949c,0,2,0,0.00%,0,0,Search
john deere 4020 air filter,0,2,0,0.00%,0,0,Search
407018r91,0,3,0,0.00%,0,0,Search
john deere 3010 gas carburetor,0,4,0,0.00%,0,0,Search
john deere 1010 radiator,0,2,0,0.00%,0,0,Search
ford nca577a,0,2,0,0.00%,0,0,Search
allis chalmers d14 carburetor,0,2,0,0.00%,0,0,Search
ford 8n overhaul kit,0,2,0,0.00%,0,0,Search
massey ferguson parts catalog online,30.97,31,4,12.90%,0.24,0.96,Search
8n ford coil,0,2,0,0.00%,0,0,Search
oliver tractors parts,0,2,0,0.00%,0,0,Search
3020 john deere parts,0,11,0,0.00%,0,0,Search
ford tractor wiring harness,0,2,0,0.00%,0,0,Search
exhaust wheel on a tractor,0,3,0,0.00%,0,0,Search
1950 ford tractor parts,80,5,1,20.00%,0.4,0.4,Search
tca26131,0,4,0,0.00%,0,0,Search
allis chalmers wd engine rebuild kit,0,2,0,0.00%,0,0,Search
8n ford tune up kit,0,5,0,0.00%,0,0,Search
farmall h fan belt,0,5,0,0.00%,0,0,Search
ford tractor temperature gauge,0,3,0,0.00%,0,0,Search
ford baler needles,0,2,0,0.00%,0,0,Search
tractor clutches,0,4,0,0.00%,0,0,Search
farmall fuel cap,0,2,0,0.00%,0,0,Search
ford 8n muffler,0,3,0,0.00%,0,0,Search
john deere b rebuild kit,190,3,1,33.33%,0.57,0.57,Search
smitty's oliver tractor parts,0,7,0,0.00%,0,0,Search
farmall a radiator cap,0,2,0,0.00%,0,0,Search
tractor parts com,252,5,2,40.00%,0.63,1.26,Search
mccormick farmall cub tractor parts,0,2,0,0.00%,0,0,Search
lind brothers tractor parts,0,3,0,0.00%,0,0,Search
1954 ford tractor parts,632.5,4,2,50.00%,1.27,2.53,Search
ford 850 tractor parts,132.22,18,3,16.67%,0.79,2.38,Search
ford 501 pitman arm,0,7,0,0.00%,0,0,Search
ford 3400 tractor parts,241.82,11,3,27.27%,0.89,2.66,Search
farmall m carb kit,0,14,0,0.00%,0,0,Search
1950 massey ferguson tractor parts,0,2,0,0.00%,0,0,Search
international tractor parts,213.42,76,13,17.11%,1.25,16.22,Search
b john deere parts,600,6,4,66.67%,0.9,3.6,Search
antique tractor parts,308.03,61,19,31.15%,0.99,18.79,Search
john deere 60 clutch kit,128.57,7,1,14.29%,0.9,0.9,Search
starter for farmall cub tractor,0,2,0,0.00%,0,0,Search
ford 1715 tractor parts,0,3,0,0.00%,0,0,Search
john deere 8420 hood,200,2,1,50.00%,0.4,0.4,Search
messick's tractor parts,0,2,0,0.00%,0,0,Search
allis chalmers ca carburetor,0,3,0,0.00%,0,0,Search
ertl tractor parts contemporary manufacture,0,11,0,0.00%,0,0,Search
two cylinder tractor parts,0,2,0,0.00%,0,0,Search
ihc tractor parts,0,2,0,0.00%,0,0,Search
obsolete tractor parts warehouse,0,15,0,0.00%,0,0,Search
farmall cub tractor parts,185.71,28,10,35.71%,0.52,5.2,Search
ford 3000 muffler,374,5,1,20.00%,1.87,1.87,Search
